Nombre Oferta;Plazo hasta;Link;Nuevo;Palabra Clave
Proceso de selección para proveer un cargo de Analista Geomensor de la Unidad de Gestión de Suelos, para prestar servicios en el Departamento Técnico de Construcciones y Urbanización, de SERVIU Región;17/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122137&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
El Servicio Local de Educación Pública de Valparaíso busca Analista de Gestión de Proyectos e Infraestructura 13° EUS;12/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=115445&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
ESTAMENTO PROFESIONAL, CALIDAD JURIDICA CONTRATA GRADO 11 EUR, PARA EL CARGO DE ANALISTA ADMINISTRADOR(A) DE OPERACIONES DE LA SECCIÓN DE CONTINUIDAD Y SERVICIOS TI, DEPENDIENTE DE LA DIVISIÓN INFORMÁ;18/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=120697&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Código 170: Médico Especialista – Servicio Neonatología – CR de la Mujer y Recién Nacido – Subdirección Medica.;22/01/2025;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122310&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Analista Geoespacial – Unidad de Infraestructura de Ñuble;13/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=120842&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Técnico en Enfermería, 4to Turno para Unidad Central de Esterilización - Grado 19 E.U.S.;18/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122336&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Analista de Desarrollo TI - División de Gestión, Tecnología y Procesos;18/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122157&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Código 168: Coordinador(a) Subunidad Clínica – Subunidad Oncología - Subdirección Gestión del Cuidado;12/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=121843&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Analista Ambiental y Territorial - Unidad de Franjas;16/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=120565&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
Código 171: Coordinador(a) Bronco - Infantil – Servicio Consultas y Procedimientos – CR Atención Ambulatoria – Subdirección Médica;18/12/2024;https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=122313&c=0&j=0&tipo=convpostularavisoTrabajo;nuevo;analista
